a,b
General Merchandise Stores,0.18644446643760496
Limited-Service Restaurants Fast casual restaurants,0.1839343196859818
"Salons, Drycleaning/Laundry, & Pet Care",0.17127565861308944
Other Services,0.08519541940909899
Food and Beverage Stores,0.05538505263800096
