a,b
Clothing and Clothing Accessories Stores,0.25087398449850473
"Salons, Drycleaning/Laundry, & Pet Care",0.1771396833191318
General Merchandise Stores,0.17277718422318658
Food and Beverage Stores,0.11805912906212651
Limited-Service Restaurants Fast casual restaurants,0.09717129474952482
