a,b
Furniture and Home Furnishings Stores,0.19010874752915038
Other Services,0.16686234332480518
Supermarkets and Other Grocery Stores,0.12958490970645908
General Merchandise Stores,0.11459095729278856
Limited-Service Restaurants Fast casual restaurants,0.10590371976259098
