a,b
Limited-Service Restaurants Fast casual restaurants,0.19689412803031223
"Salons, Drycleaning/Laundry, & Pet Care",0.1733237668875597
General Merchandise Stores,0.1448842206302737
Other Services,0.14462169572129432
Food and Beverage Stores,0.08553074639802695
