a,b
Supermarkets and Other Grocery Stores,0.29158932333698995
"Salons, Drycleaning/Laundry, & Pet Care",0.16828033160420497
General Merchandise Stores,0.12214779220086631
Limited-Service Restaurants Fast casual restaurants,0.10127737517289545
Food and Beverage Stores,0.07634550954226299
