a,b
Other Services,0.17686027421496228
"Salons, Drycleaning/Laundry, & Pet Care",0.13857640647386085
General Merchandise Stores,0.12516189131924757
Limited-Service Restaurants Fast casual restaurants,0.11475616220367299
Food and Beverage Stores,0.08093058302202562
