a,b
"Salons, Drycleaning/Laundry, & Pet Care",0.16893480677835448
Limited-Service Restaurants Fast casual restaurants,0.1646832049172585
Food and Beverage Stores,0.1224987639774375
Other Services,0.1056917942805339
General Merchandise Stores,0.09754005503984255
