a,b
Limited-Service Restaurants Fast casual restaurants,0.18261442759186883
Clothing and Clothing Accessories Stores,0.15832428918167082
"Salons, Drycleaning/Laundry, & Pet Care",0.14640911883579263
General Merchandise Stores,0.13299512047178233
Other Services,0.10028442959518445
