a,b
"Salons, Drycleaning/Laundry, & Pet Care",0.17335472153346343
Supermarkets and Other Grocery Stores,0.15612899940877145
General Merchandise Stores,0.12190530591527361
Health and Personal Care Stores,0.1127212775403027
Food and Beverage Stores,0.089939451986361
