a,b
"Salons, Drycleaning/Laundry, & Pet Care",0.2948606023850503
Supermarkets and Other Grocery Stores,0.13532952039099846
"Arts, Entertainment and Recreation",0.11826950851700326
General Merchandise Stores,0.1099633234611151
Limited-Service Restaurants Fast casual restaurants,0.1042036136391502
