a,b
General Merchandise Stores,0.184696198637885
Limited-Service Restaurants Fast casual restaurants,0.15972337557967822
"Arts, Entertainment and Recreation",0.1417000444069497
Supermarkets and Other Grocery Stores,0.10915900421024012
Food and Beverage Stores,0.08727975087460947
