a,b
Limited-Service Restaurants Fast casual restaurants,0.1971128950058333
"Salons, Drycleaning/Laundry, & Pet Care",0.1260635543176439
Clothing and Clothing Accessories Stores,0.11607412691731782
General Merchandise Stores,0.11088749466623161
Other Services,0.09223937606250614
