a,b
General Merchandise Stores,0.18997519864306656
Food and Beverage Stores,0.15072914419765177
"Arts, Entertainment and Recreation",0.14444839871198842
"Salons, Drycleaning/Laundry, & Pet Care",0.1330444508508894
Supermarkets and Other Grocery Stores,0.11196522463174959
