a,b
General Merchandise Stores,0.22198564185087463
Supermarkets and Other Grocery Stores,0.14675798884573746
"Salons, Drycleaning/Laundry, & Pet Care",0.11557716366814857
Food and Beverage Stores,0.11237568633863036
Limited-Service Restaurants Fast casual restaurants,0.09878567082559914
