a,b
"Salons, Drycleaning/Laundry, & Pet Care",0.2547633752746783
General Merchandise Stores,0.18973718164300424
Supermarkets and Other Grocery Stores,0.12721106607659685
Limited-Service Restaurants Fast casual restaurants,0.09632242113504462
Food and Beverage Stores,0.06927909591111167
